Carrier,2026_Passengers,2030_Passengers,CAGR_%,Total_Growth_%
Peter Pan/Bonanza,108077.0,135842.0,5.88274614261004,25.69001730247879
Lakeland,86097.0,88289.0,0.6305032792763177,2.545965596942983
NJ Transit,5720544.0,5771755.0,0.2230555985311744,0.8952120637477834
Academy,85855.0,82157.0,-1.0946589218278513,-4.307262244481976
Coach USA,346451.0,321997.0,-1.8133366979956267,-7.058429619195788
Martz,43023.0,34926.0,-5.079057943167042,-18.82016595774353
Greyhound,88450.0,68085.0,-6.332613847385127,-23.024307518371963
HCEE - Community,88985.0,68261.0,-6.413337352567627,-23.28931842445356
DeCamp,34166.0,19711.0,-12.847744657185844,-42.30814259790435
Trailways,29689.0,16782.0,-13.291427429737224,-43.47401394455859
