Carrier_Name,Year,Projected_Passengers,Conservative_Estimate,Optimistic_Estimate,Total_Passengers,Market_Share_%
Academy,2026,85855.0,65869.0,105841.0,6631337.0,1.29
Academy,2027,100054.0,71949.0,128159.0,7880095.0,1.27
Academy,2028,116789.0,79614.0,153964.0,9357882.0,1.25
Academy,2029,129157.0,84244.0,174071.0,10461369.0,1.23
Academy,2030,82157.0,52554.0,111760.0,6607805.0,1.24
Coach USA,2026,346451.0,231917.0,460984.0,6631337.0,5.22
Coach USA,2027,399979.0,210161.0,589798.0,7880095.0,5.08
Coach USA,2028,464954.0,175495.0,754412.0,9357882.0,4.97
Coach USA,2029,511493.0,121369.0,901618.0,10461369.0,4.89
Coach USA,2030,321997.0,44732.0,599262.0,6607805.0,4.87
DeCamp,2026,34166.0,8136.0,60195.0,6631337.0,0.52
DeCamp,2027,34166.0,-3878.0,72209.0,7880095.0,0.43
DeCamp,2028,34823.0,-13170.0,82815.0,9357882.0,0.37
DeCamp,2029,34166.0,-20479.0,88810.0,10461369.0,0.33
DeCamp,2030,19711.0,-14847.0,54269.0,6607805.0,0.3
Greyhound,2026,88450.0,37460.0,139440.0,6631337.0,1.33
Greyhound,2027,96348.0,37771.0,154924.0,7880095.0,1.22
Greyhound,2028,105947.0,40132.0,171762.0,9357882.0,1.13
Greyhound,2029,111169.0,40516.0,181823.0,10461369.0,1.06
Greyhound,2030,68085.0,25114.0,111055.0,6607805.0,1.03
HCEE - Community,2026,88985.0,63150.0,114820.0,6631337.0,1.34
HCEE - Community,2027,95496.0,64273.0,126719.0,7880095.0,1.21
HCEE - Community,2028,104321.0,65742.0,142901.0,9357882.0,1.11
HCEE - Community,2029,109137.0,64437.0,153837.0,10461369.0,1.04
HCEE - Community,2030,68261.0,39460.0,97062.0,6607805.0,1.03
Lakeland,2026,86097.0,53659.0,118535.0,6631337.0,1.3
Lakeland,2027,103663.0,52828.0,154498.0,7880095.0,1.32
Lakeland,2028,123399.0,52445.0,194354.0,9357882.0,1.32
Lakeland,2029,138510.0,49411.0,227608.0,10461369.0,1.32
Lakeland,2030,88289.0,27857.0,148720.0,6607805.0,1.34
Martz,2026,43023.0,26634.0,59413.0,6631337.0,0.65
Martz,2027,47326.0,21998.0,72654.0,7880095.0,0.6
Martz,2028,52661.0,18173.0,87149.0,9357882.0,0.56
Martz,2029,56059.0,13855.0,98264.0,10461369.0,0.54
Martz,2030,34926.0,6861.0,62991.0,6607805.0,0.53
NJ Transit,2026,5720544.0,3229149.0,8211939.0,6631337.0,86.27
NJ Transit,2027,6832879.0,2902168.0,10763589.0,7880095.0,86.71
NJ Transit,2028,8147824.0,2287492.0,14008156.0,9357882.0,87.07
NJ Transit,2029,9135271.0,1387225.0,16883318.0,10461369.0,87.32
NJ Transit,2030,5771755.0,316378.0,11227132.0,6607805.0,87.35
Peter Pan/Bonanza,2026,108077.0,-56294.0,272448.0,6631337.0,1.63
Peter Pan/Bonanza,2027,140153.0,-166607.0,446914.0,7880095.0,1.78
Peter Pan/Bonanza,2028,176380.0,-322405.0,675165.0,9357882.0,1.88
Peter Pan/Bonanza,2029,205861.0,-491957.0,903679.0,10461369.0,1.97
Peter Pan/Bonanza,2030,135842.0,-370549.0,642233.0,6607805.0,2.06
Trailways,2026,29689.0,7059.0,52320.0,6631337.0,0.45
Trailways,2027,30031.0,-8124.0,68186.0,7880095.0,0.38
Trailways,2028,30784.0,-29280.0,90847.0,9357882.0,0.33
Trailways,2029,30546.0,-51272.0,112364.0,10461369.0,0.29
Trailways,2030,16782.0,-42164.0,75727.0,6607805.0,0.25
