Year,Total_Passengers,Weeks,Avg_Weekly,Recovery_%,Diff_from_2019,Pct_Change,Status
2020,121859.0,4,30464.75,733.736753371869,26312.75,633.736753371869,Recovered ✓
2021,2249240.0,49,45902.857142857145,1105.5601431323976,41750.857142857145,1005.5601431323975,Recovered ✓
2022,2690632.2,40,67265.80500000001,1620.0820086705203,63113.80500000001,1520.0820086705205,Recovered ✓
2023,1598885.0,19,84151.84210526316,2026.7784707433325,79999.84210526316,1926.7784707433325,Recovered ✓
2024,2749783.0,29,94820.10344827586,2283.721181316856,90668.10344827586,2183.721181316856,Recovered ✓
2025,1382623.0,14,98758.78571428571,2378.5834709606384,94606.78571428571,2278.5834709606384,Recovered ✓
2026,6765341.835273924,52,130102.72760142162,3133.4953661228715,125950.72760142162,3033.4953661228715,Above 2019 ✓
2027,8100604.7500675935,52,155780.86057822296,3751.947509109416,151628.86057822296,3651.947509109416,Above 2019 ✓
2028,9665201.524242008,53,182362.29291022656,4392.155416912971,178210.29291022656,4292.155416912971,Above 2019 ✓
2029,10850124.016969124,52,208656.23109556007,5025.439091896918,204504.23109556007,4925.439091896918,Above 2019 ✓
2030,6856350.05356638,30,228545.00178554602,5504.455727012187,224393.00178554602,5404.455727012187,Above 2019 ✓
